name,date,max_wind_speed
ALBERTO,7/3/1994,55
BERYL,8/16/1994,50
GORDON,11/16/1994,75
ALLISON,6/5/1995,65
ERIN,8/2/1995,85
JERRY,8/23/1995,35
DANNY,7/20/1997,70
EARL,9/3/1998,85
GEORGES,9/29/1998,135
MITCH,11/5/1998,155
HARVEY,9/21/1999,50
IRENE,10/15/1999,95
GORDON,9/18/2000,70
HELENE,9/22/2000,60
LESLIE,10/4/2000,60
BARRY,8/6/2001,60
GABRIELLE,9/14/2001,70
EDOUARD,9/5/2002,55
HENRI,9/6/2003,50
BONNIE,8/12/2004,55
CHARLEY,8/14/2004,130
FRANCES,9/5/2004,125
IVAN,9/21/2004,145
JEANNE,9/26/2004,105
DENNIS,7/10/2005,130
KATRINA,8/26/2005,150
TAMMY,10/5/2005,45
WILMA,10/24/2005,160
ALBERTO,6/13/2006,60
ERNESTO,8/30/2006,65
BARRY,6/2/2007,50
TEN,9/22/2007,30
FAY,8/19/2008,60
CLAUDETTE,8/17/2009,50
IDA,11/10/2009,90
BONNIE,7/23/2010,40
FIVE,8/16/2010,30
BERYL,5/28/2012,60
DEBBY,6/27/2012,55
ANDREA,6/7/2013,55
HERMINE,9/2/2016,70
JULIA,9/13/2016,45
EMILY,7/31/2017,50
IRMA,9/10/2017,155
ALBERTO,5/28/2018,55
GORDON,9/3/2018,60
MICHAEL,10/10/2018,140
NESTOR,10/19/2019,50
FAY,7/6/2020,50
SALLY,9/12/2020,95
ETA,11/9/2020,130
ELSA,7/7/2021,75
FRED,8/17/2021,55
MINDY,9/9/2021,50
